lat,lon,river_name,wse
31.91106833,-114.9783556,no_data,3.14581
31.91257015,-114.9809677,no_data,1.44672
31.91286265,-114.9821456,no_data,-0.77605
31.91238661,-114.9828824,no_data,0.79169
31.91172046,-114.9838715,no_data,2.13142
31.91088607,-114.9853991,no_data,2.11551
31.90881390,-114.9854067,no_data,2.70130
31.90735871,-114.9873407,no_data,2.77236
31.90416775,-114.9875909,no_data,2.99552
31.90277158,-114.9916945,no_data,2.50792
31.90075334,-114.9951694,no_data,2.83693
31.90097961,-114.9985751,no_data,3.32103
31.90207524,-115.0024340,no_data,3.50625
31.90419627,-115.0076583,no_data,3.25109
31.90894184,-115.0073550,no_data,2.66265
31.91018152,-115.0008696,no_data,2.73787
31.91089234,-114.9982119,no_data,3.78337
31.91176143,-114.9960925,no_data,3.68653
